text,label
"Hey Sarah, Just wanted to check in and see how things are going. Let me know if you need any help with the project!",Friendly
Hi there! Thanks a ton for your help yesterday — really appreciate it! Looking forward to working together again.,Friendly
"Hey Mike, Hope you're doing great! Would love to catch up sometime next week if you’re free.",Friendly
"Hi team, Just wanted to say great job on the presentation today. You all nailed it!",Friendly
Hello! Thank you so much for your quick response. That really helped clear things up!,Friendly
"Dear Mr. Thompson, I hope this message finds you well. I am writing to follow up on our previous correspondence regarding the contract details.",Formal
"Hello Ms. Rivera, Thank you for your time during yesterday’s meeting. I have attached the requested documents for your review.",Formal
"To whom it may concern, I am reaching out to inquire about the application process for the open position listed on your website.",Formal
"Dear HR Department, Please consider this email as my formal notice of resignation, effective two weeks from today.",Formal
"Hi Dr. Lee, I appreciate your insights during the seminar. Your explanation of the new policy was extremely helpful.",Formal
"Why haven’t I received a response yet? This delay is unacceptable, and I expect an update immediately.",Aggressive
"This is the third time I’m bringing this up. If this issue isn’t fixed today, I’ll escalate it to your supervisor.",Aggressive
"Let me be clear — I’m not going to tolerate any more excuses. Get it done, or I’ll find someone else who will.",Aggressive
"I’m tired of repeating myself. If you can’t handle the task, say so.",Aggressive
"This project is a mess. I don’t know who’s responsible, but it needs to be cleaned up now.",Aggressive
"Hi, I just wanted to follow up again — sorry if I’m bothering you. I’m a bit worried I may have done something wrong.",Anxious
"Hey, Not sure if I sent this to the right person… please let me know if I should contact someone else.",Anxious
"Hi there, I hope I didn’t come off the wrong way in my last message. Just wanted to clarify, in case it seemed rude.",Anxious
"Sorry for the repeated emails, I’m just a little confused about the instructions. Would it be okay to ask for help?",Anxious
"Hi, I submitted the report yesterday but haven’t heard anything yet. Is everything okay on your end?",Anxious
"Hey, I was thinking maybe we could possibly look into the issue… if that’s alright with you?",Passive
"Hi, I guess the document might not be complete, but I thought I’d send it anyway just in case.",Passive
"Hello, I was wondering if maybe we should consider changing the layout — but totally fine if not.",Passive
"Hi, I’m not sure if this is the right time to bring it up, but maybe the deadline could be adjusted?",Passive
